Mod:Item:MetaData, Localized Name
botany:clay:35, Светло-серый глина
botany:clay:36, Темный бирюзовый глина
botany:clay:37, Бледно-голубой глина
botany:clay:38, Лайм глина
botany:clay:39, Светло-зеленый глина
botany:clay:40, Фуксия глина
botany:clay:41, Каштановый глина
botany:clay:42, Светло-Мятный глина
botany:clay:43, Светло-фиолетовый глина
botany:clay:44, Светлый шифер глина
botany:clay:45, Мята глина
botany:clay:46, Пурпурно-красный глина
botany:clay:47, Бледно-Розовый глина
botany:clay:48, Военно-морской глина
botany:clay:49, Темно-желтый глина
botany:clay:50, Оливковый глина
botany:clay:51, Оранжевый глина
botany:clay:52, Бледно-зеленый глина
botany:clay:53, Бледная бирюза глина
botany:clay:54, Тусклый розовый глина
botany:clay:55, Загар глина
botany:clay:56, Бледно-розовый глина
botany:clay:57, Светло-лиловый глина
botany:clay:58, Темно фиолетовый глина
botany:clay:59, Красный глина
botany:clay:60, Тусклый красный глина
botany:clay:61, Королевский синий глина
botany:clay:62, Лосось глина
botany:clay:63, Бледно-коричневый глина
botany:clay:64, Темный мятный глина
botany:clay:65, Коричневый глина
botany:clay:66, Голубое небо глина
botany:clay:67, Синий шифер глина
botany:clay:68, Шифер глина
botany:clay:69, Весенний зеленый глина
botany:clay:70, Стальной синий глина
botany:clay:71, Бледно-Коричневой глина
botany:clay:72, Изумрудный глина
botany:clay:73, Бледно-фиолетовый глина
botany:clay:74, Светло-бирюзовый глина
botany:clay:75, Лиловый глина
botany:clay:76, Бледно-оранжевый глина
botany:clay:77, Белый глина
botany:clay:78, Желтый глина
botany:clay:79, Желто-зеленый глина
botany:misc_ceramic:0, Ступка
extrabees:honey_crystal, item.honey_crystal.name
extrabees:honey_drop:0, Энергетическая капля
extrabees:honey_drop:1, Кислотная капля
extrabees:honey_drop:2, Ядовитая капля
extrabees:honey_drop:3, Сочная капля
extrabees:honey_drop:5, Ледяная капля
extrabees:honey_drop:6, Молоко
extrabees:honey_drop:7, Ореховая роса
extrabees:honey_drop:8, Алкоголь
extrabees:honey_drop:13, Красный мед
extrabees:honey_drop:14, Желтый мед
extrabees:honey_drop:15, Синий мед
extrabees:honey_drop:16, Зеленый мед
extrabees:honey_drop:17, Черный мед
extrabees:honey_drop:18, Белый мед
extrabees:honey_drop:19, Коричневый мед
extrabees:honey_drop:20, Оранжевый мед
extrabees:honey_drop:21, Голубой мед
extrabees:honey_drop:22, Пурпурный мед
extrabees:honey_drop:23, Серый мед
extrabees:honey_drop:24, Светло синий мед
extrabees:honey_drop:25, Розовый мед
extrabees:honey_drop:26, Лаймовый мед
extrabees:honey_drop:27, Малиновый мед
extrabees:honey_drop:28, Светло-серый мед
extrabees:honey_comb:0, Бесплодная сота
extrabees:honey_comb:1, Гнилая сота
extrabees:honey_comb:2, Костяная сота
extrabees:honey_comb:3, Масляная сота
extrabees:honey_comb:4, Окаменевшая сота
extrabees:honey_comb:5, Нефтяная сота
extrabees:honey_comb:6, Сырая сота
extrabees:honey_comb:7, Молочная сота
extrabees:honey_comb:8, Фруктовая сота
extrabees:honey_comb:9, Наполненный семенами гребень
extrabees:honey_comb:10, Алкогольная сота
extrabees:honey_comb:11, Скалистая сота
extrabees:honey_comb:12, Энергетическая сота
extrabees:honey_comb:13, Янтарная сота
extrabees:honey_comb:14, Статическая сота
extrabees:honey_comb:15, Железная сота
extrabees:honey_comb:16, Золотая сота
extrabees:honey_comb:17, Медная сота
extrabees:honey_comb:18, Оловяная сота
extrabees:honey_comb:19, Серебряная сота
extrabees:honey_comb:21, Радиоактивная сота
extrabees:honey_comb:22, Глиняная сота
extrabees:honey_comb:23, Старая сота
extrabees:honey_comb:24, Грибковая сота
extrabees:honey_comb:25, Смолянистая сота
extrabees:honey_comb:26, Латексовая сота
extrabees:honey_comb:27, Серная сота
extrabees:honey_comb:28, Ядовитая сота
extrabees:honey_comb:29, Слизистая сота
extrabees:honey_comb:30, Полыхающая сота
extrabees:honey_comb:31, Кофейная сота
extrabees:honey_comb:32, Ледниковая сота
extrabees:honey_comb:36, Теневая сота
extrabees:honey_comb:37, Свинцовая сота
extrabees:honey_comb:40, Цинковая сота
extrabees:honey_comb:41, Титановая сота
extrabees:honey_comb:42, Вольфрамовая сота
extrabees:honey_comb:45, Платиновая сота
extrabees:honey_comb:46, Лазуритовая сота
extrabees:honey_comb:47, Содалитовая сота
extrabees:honey_comb:48, Пиритная сота
extrabees:honey_comb:49, Бокситовая сота
extrabees:honey_comb:50, Киноварная сота
extrabees:honey_comb:51, Сфалеритная сота
extrabees:honey_comb:52, Изумрудная сота
extrabees:honey_comb:53, Рубиновая сота
extrabees:honey_comb:54, Сапфировая сота
extrabees:honey_comb:56, Алмазная сота
extrabees:honey_comb:57, Красная сота
extrabees:honey_comb:58, Желтая сота
extrabees:honey_comb:59, Синяя сота
extrabees:honey_comb:60, Зеленая сота
extrabees:honey_comb:61, Черная сота
extrabees:honey_comb:62, Белая сота
extrabees:honey_comb:63, Коричневая сота
extrabees:honey_comb:64, Оранжевая сота
extrabees:honey_comb:65, Голубой сота
extrabees:honey_comb:66, Пурпурная сота
extrabees:honey_comb:67, Серая сота
extrabees:honey_comb:68, Светло-синяя сота
extrabees:honey_comb:69, Розовая сота
extrabees:honey_comb:70, Лаймовая сота
extrabees:honey_comb:71, Фуксия сота
extrabees:honey_comb:72, Светло-серая сота
extrabees:honey_comb:73, Никелевая сота
extrabees:honey_comb:75, Светящаяся сота
extrabees:honey_comb:76, Неустойчивая сота
extrabees:honey_comb:79, Разлагающаяся сота
extrabees:honey_comb:80, Пыльная сота
extrabees:honey_comb:81, Цертусовая сота
extrabees:honey_comb:82, Мерцающая сота
extrabees:honey_comb:83, Еллориумовая сота
extrabees:honey_comb:84, Кианитовая сота
extrabees:honey_comb:85, Блутониумовая сота
extrabees:propolis:0, Водянистый прополис
extrabees:propolis:1, Масляный прополис
extrabees:propolis:2, Нефтяной прополис
extrabees:propolis:7, Креозотовый прополис
extrabees:ectoplasm, Эктоплазма
extrabees:hive:0, Водный улей
extrabees:hive:1, Скалистый улей
extrabees:hive:2, Адский улей
extrabees:hive:3, Мраморный улей
extrabees:misc:0, Scented Gear
extrabees:misc:1, Diamond Fragment
extrabees:misc:2, Emerald Fragment
extrabees:misc:5, Lapis Fragment
extrabees:misc:6, Iron Grains
extrabees:misc:7, Gold Grains
extrabees:misc:8, Silver Grains
extrabees:misc:9, Platinum Grains
extrabees:misc:10, Copper Grains
extrabees:misc:11, Tin Grains
extrabees:misc:12, Nickel Grains
extrabees:misc:13, Lead Grains
extrabees:misc:14, Zinc Grains
extrabees:misc:16, Tungsten Grains
extrabees:misc:17, Radioactive Fragments
extrabees:misc:18, Coal Grains
extrabees:misc:19, Red Dye
extrabees:misc:20, Yellow Dye
extrabees:misc:21, Blue Dye
extrabees:misc:22, Green Dye
extrabees:misc:23, White Dye
extrabees:misc:24, Black Dye
extrabees:misc:25, Brown Dye
extrabees:misc:26, Clay Dust
extrabees:dictionary:0, Apiarist Database
extrabees:dictionary:1, Master Apiarist Database
extrabees:alveary:0, Mutator
extrabees:alveary:1, Frame Housing
extrabees:alveary:2, Rain Shield
extrabees:alveary:3, Alveary Lighting
extrabees:alveary:4, Electrical Stimulator
extrabees:alveary:5, Hatchery
extrabees:alveary:6, Alveary Transmission
extrabees:hive_frame.cocoa, item.hive_frame.name
extrabees:hive_frame.cage, item.hive_frame.name
extrabees:hive_frame.soul, item.hive_frame.name
extrabees:hive_frame.clay, item.hive_frame.name
extrabees:hive_frame.debug, item.hive_frame.name
extratrees:misc:0, Опилки
extratrees:misc:1, Кора
extratrees:misc:2, Проверенное снаряжение
extratrees:misc:3, Полированное дерево
extratrees:misc:4, Дрожжи
extratrees:misc:5, Дрожжевой лаг
extratrees:misc:6, Зерно пшеницы
extratrees:misc:7, Ячменное зерно
extratrees:misc:8, Зерно ржи
extratrees:misc:9, Кукурузное зерно
extratrees:misc:10, Жареное зерно
extratrees:misc:11, Стеклянный фитинг
extratrees:binnie.sap, Живица
extratrees:binnie.resin, Смола
extratrees:binnie.latex, Латекс
extratrees:binnie.turpentine, Скипидар
extratrees:food:0, Яблоко
extratrees:food:1, Апельсин
extratrees:food:2, Кумкват
extratrees:food:3, Лайм
extratrees:food:4, Дикая вишня
extratrees:food:5, Кислая вишня
extratrees:food:6, Черная вишня
extratrees:food:7, Терновник
extratrees:food:8, Алыча
extratrees:food:9, Миндаль
extratrees:food:10, Абрикос
extratrees:food:11, Грейпфрут
extratrees:food:12, Персик
extratrees:food:13, Сатсума
extratrees:food:14, Рука Будды
extratrees:food:15, Цитрон
extratrees:food:16, Пальцевидный лайм
extratrees:food:17, Лайм
extratrees:food:18, Мандарин
extratrees:food:19, Нектарин
extratrees:food:20, Помело
extratrees:food:21, Танжерин
extratrees:food:22, Груша
extratrees:food:23, Песчаная груша
extratrees:food:24, Фундук
extratrees:food:25, Масляный орех
extratrees:food:26, Буковый орех
extratrees:food:27, Орех пекана
extratrees:food:28, Банан
extratrees:food:29, Красный банан
extratrees:food:30, Подорожник
extratrees:food:31, Бразильский орех
extratrees:food:32, Инжир
extratrees:food:33, Желудь
extratrees:food:34, Бузина
extratrees:food:35, Оливка
extratrees:food:36, Гингко орех
extratrees:food:37, Кофе
extratrees:food:38, Адамово яблоко
extratrees:food:39, Гвоздика
extratrees:food:40, Папайимар
extratrees:food:41, Черная смородина
extratrees:food:42, Красная смородина
extratrees:food:43, Черника
extratrees:food:44, Малина
extratrees:food:45, Голубика
extratrees:food:46, Клюква
extratrees:food:47, Можжевельник
extratrees:food:48, Крыжовник
extratrees:food:49, Золотая малина
extratrees:food:50, Кокос
extratrees:food:51, Кешью
extratrees:food:52, Авокадо
extratrees:food:53, Мускатный орех
extratrees:food:54, Ямайский перец
extratrees:food:55, Чили
extratrees:food:56, Звездчатый анис
extratrees:food:57, Манго
extratrees:food:58, Карамбола
extratrees:food:59, Плод свечного дерева
extratrees:hammer, Hammer
extratrees:durable_hammer, item.durable_hammer.name
extratrees:hops, item.hops.name
extratrees:databasetree, item.databaseTree.name
extratrees:logs.0:0, Древесина Яблоня
extratrees:logs.0:1, Древесина Инжир
extratrees:logs.0:2, Древесина Масляный орех
extratrees:logs.0:3, Древесина Рябина ария
extratrees:logs.1:0, Древесина Рябина
extratrees:logs.1:1, Древесина Болиголов
extratrees:logs.1:2, Древесина Ясень
extratrees:logs.1:3, Древесина Ольха
extratrees:logs.2:0, Древесина Бук
extratrees:logs.2:1, Древесина Боярышник
extratrees:logs.2:2, Древесина Банан
extratrees:logs.2:3, Древесина Тис
extratrees:logs.3:0, Древесина Кипарис
extratrees:logs.3:1, Древесина Пихта
extratrees:logs.3:2, Древесина Орех
extratrees:logs.3:3, Древесина Гикори
extratrees:logs.4:0, Древесина Вяз
extratrees:logs.4:1, Древесина Бузина
extratrees:logs.4:2, Древесина Падуб
extratrees:logs.4:3, Древесина Граб
extratrees:logs.5:0, Древесина Кедр
extratrees:logs.5:1, Древесина Оливка
extratrees:logs.5:2, Древесина Ликвидамбр
extratrees:logs.5:3, Древесина Робиния
extratrees:logs.6:0, Древесина Груша
extratrees:logs.6:1, Древесина Маклюра
extratrees:logs.6:2, Древесина Цезальпиния
extratrees:logs.6:3, Древесина Кампеш
extratrees:logs.7:0, Древесина Дальбергия
extratrees:logs.7:1, Древесина Амарант
extratrees:logs.7:2, Древесина Ироко
extratrees:logs.7:3, Древесина Гингко
extratrees:logs.8:0, Древесина Эвкалипт
extratrees:logs.8:1, Древесина Самшит
extratrees:logs.8:2, Древесина Сизгиум
extratrees:logs.8:3, Древесина Розовая слоновая кость
extratrees:logs.9:0, Древесина Эвкалипт
extratrees:logs.9:1, Древесина Эвкалипт
extratrees:logs.9:2, Древесина Вишня
extratrees:logs.9:3, Древесина Корица
extratrees:logs.fireproof.0:0, Древесина Яблоня (огнестойкость)
extratrees:logs.fireproof.0:1, Древесина Инжир (огнестойкость)
extratrees:logs.fireproof.0:2, Древесина Масляный орех (огнестойкость)
extratrees:logs.fireproof.0:3, Древесина Рябина ария (огнестойкость)
extratrees:logs.fireproof.1:0, Древесина Рябина (огнестойкость)
extratrees:logs.fireproof.1:1, Древесина Болиголов (огнестойкость)
extratrees:logs.fireproof.1:2, Древесина Ясень (огнестойкость)
extratrees:logs.fireproof.1:3, Древесина Ольха (огнестойкость)
extratrees:logs.fireproof.2:0, Древесина Бук (огнестойкость)
extratrees:logs.fireproof.2:1, Древесина Боярышник (огнестойкость)
extratrees:logs.fireproof.2:2, Древесина Банан (огнестойкость)
extratrees:logs.fireproof.2:3, Древесина Тис (огнестойкость)
extratrees:logs.fireproof.3:0, Древесина Кипарис (огнестойкость)
extratrees:logs.fireproof.3:1, Древесина Пихта (огнестойкость)
extratrees:logs.fireproof.3:2, Древесина Орех (огнестойкость)
extratrees:logs.fireproof.3:3, Древесина Гикори (огнестойкость)
extratrees:logs.fireproof.4:0, Древесина Вяз (огнестойкость)
extratrees:logs.fireproof.4:1, Древесина Бузина (огнестойкость)
extratrees:logs.fireproof.4:2, Древесина Падуб (огнестойкость)
extratrees:logs.fireproof.4:3, Древесина Граб (огнестойкость)
extratrees:logs.fireproof.5:0, Древесина Кедр (огнестойкость)
extratrees:logs.fireproof.5:1, Древесина Оливка (огнестойкость)
extratrees:logs.fireproof.5:2, Древесина Ликвидамбр (огнестойкость)
extratrees:logs.fireproof.5:3, Древесина Робиния (огнестойкость)
extratrees:logs.fireproof.6:0, Древесина Груша (огнестойкость)
extratrees:logs.fireproof.6:1, Древесина Маклюра (огнестойкость)
extratrees:logs.fireproof.6:2, Древесина Цезальпиния (огнестойкость)
extratrees:logs.fireproof.6:3, Древесина Кампеш (огнестойкость)
extratrees:logs.fireproof.7:0, Древесина Дальбергия (огнестойкость)
extratrees:logs.fireproof.7:1, Древесина Амарант (огнестойкость)
extratrees:logs.fireproof.7:2, Древесина Ироко (огнестойкость)
extratrees:logs.fireproof.7:3, Древесина Гингко (огнестойкость)
extratrees:logs.fireproof.8:0, Древесина Эвкалипт (огнестойкость)
extratrees:logs.fireproof.8:1, Древесина Самшит (огнестойкость)
extratrees:logs.fireproof.8:2, Древесина Сизгиум (огнестойкость)
extratrees:logs.fireproof.8:3, Древесина Розовая слоновая кость (огнестойкость)
extratrees:logs.fireproof.9:0, Древесина Эвкалипт (огнестойкость)
extratrees:logs.fireproof.9:1, Древесина Эвкалипт (огнестойкость)
extratrees:logs.fireproof.9:2, Древесина Вишня (огнестойкость)
extratrees:logs.fireproof.9:3, Древесина Корица (огнестойкость)
extratrees:planks.0:0, Доски из Яблоня
extratrees:planks.0:1, Доски из Инжир
extratrees:planks.0:2, Доски из Масляный орех
extratrees:planks.0:3, Доски из Рябина ария
extratrees:planks.0:4, Доски из Рябина
extratrees:planks.0:5, Доски из Болиголов
extratrees:planks.0:6, Доски из Ясень
extratrees:planks.0:7, Доски из Ольха
extratrees:planks.0:8, Доски из Бук
extratrees:planks.0:9, Доски из Боярышник
extratrees:planks.0:10, Доски из Банан
extratrees:planks.0:11, Доски из Тис
extratrees:planks.0:12, Доски из Кипарис
extratrees:planks.0:13, Доски из Пихта
extratrees:planks.0:14, Доски из Орех
extratrees:planks.0:15, Доски из Гикори
extratrees:planks.1:0, Доски из Вяз
extratrees:planks.1:1, Доски из Бузина
extratrees:planks.1:2, Доски из Падуб
extratrees:planks.1:3, Доски из Граб
extratrees:planks.1:4, Доски из Кедр
extratrees:planks.1:5, Доски из Оливка
extratrees:planks.1:6, Доски из Ликвидамбр
extratrees:planks.1:7, Доски из Робиния
extratrees:planks.1:8, Доски из Груша
extratrees:planks.1:9, Доски из Маклюра
extratrees:planks.1:10, Доски из Цезальпиния
extratrees:planks.1:11, Доски из Кампеш
extratrees:planks.1:12, Доски из Дальбергия
extratrees:planks.1:13, Доски из Амарант
extratrees:planks.1:14, Доски из Ироко
extratrees:planks.1:15, Доски из Гингко
extratrees:planks.2:0, Доски из Эвкалипт
extratrees:planks.2:1, Доски из Самшит
extratrees:planks.2:2, Доски из Сизгиум
extratrees:planks.2:3, Доски из Розовая слоновая кость
extratrees:planks.fireproof.0:0, Доски из Яблоня (огнестойкость)
extratrees:planks.fireproof.0:1, Доски из Инжир (огнестойкость)
extratrees:planks.fireproof.0:2, Доски из Масляный орех (огнестойкость)
extratrees:planks.fireproof.0:3, Доски из Рябина ария (огнестойкость)
extratrees:planks.fireproof.0:4, Доски из Рябина (огнестойкость)
extratrees:planks.fireproof.0:5, Доски из Болиголов (огнестойкость)
extratrees:planks.fireproof.0:6, Доски из Ясень (огнестойкость)
extratrees:planks.fireproof.0:7, Доски из Ольха (огнестойкость)
extratrees:planks.fireproof.0:8, Доски из Бук (огнестойкость)
extratrees:planks.fireproof.0:9, Доски из Боярышник (огнестойкость)
extratrees:planks.fireproof.0:10, Доски из Банан (огнестойкость)
extratrees:planks.fireproof.0:11, Доски из Тис (огнестойкость)
extratrees:planks.fireproof.0:12, Доски из Кипарис (огнестойкость)
extratrees:planks.fireproof.0:13, Доски из Пихта (огнестойкость)
extratrees:planks.fireproof.0:14, Доски из Орех (огнестойкость)
extratrees:planks.fireproof.0:15, Доски из Гикори (огнестойкость)
extratrees:planks.fireproof.1:0, Доски из Вяз (огнестойкость)
extratrees:planks.fireproof.1:1, Доски из Бузина (огнестойкость)
extratrees:planks.fireproof.1:2, Доски из Падуб (огнестойкость)
extratrees:planks.fireproof.1:3, Доски из Граб (огнестойкость)
extratrees:planks.fireproof.1:4, Доски из Кедр (огнестойкость)
extratrees:planks.fireproof.1:5, Доски из Оливка (огнестойкость)
extratrees:planks.fireproof.1:6, Доски из Ликвидамбр (огнестойкость)
extratrees:planks.fireproof.1:7, Доски из Робиния (огнестойкость)
extratrees:planks.fireproof.1:8, Доски из Груша (огнестойкость)
extratrees:planks.fireproof.1:9, Доски из Маклюра (огнестойкость)
extratrees:planks.fireproof.1:10, Доски из Цезальпиния (огнестойкость)
extratrees:planks.fireproof.1:11, Доски из Кампеш (огнестойкость)
extratrees:planks.fireproof.1:12, Доски из Дальбергия (огнестойкость)
extratrees:planks.fireproof.1:13, Доски из Амарант (огнестойкость)
extratrees:planks.fireproof.1:14, Доски из Ироко (огнестойкость)
extratrees:planks.fireproof.1:15, Доски из Гингко (огнестойкость)
extratrees:planks.fireproof.2:0, Доски из Эвкалипт (огнестойкость)
extratrees:planks.fireproof.2:1, Доски из Самшит (огнестойкость)
extratrees:planks.fireproof.2:2, Доски из Сизгиум (огнестойкость)
extratrees:planks.fireproof.2:3, Доски из Розовая слоновая кость (огнестойкость)
extratrees:slabs.0:0, Плита из Яблоня
extratrees:slabs.0:1, Плита из Инжир
extratrees:slabs.0:2, Плита из Масляный орех
extratrees:slabs.0:3, Плита из Рябина ария
extratrees:slabs.0:4, Плита из Рябина
extratrees:slabs.0:5, Плита из Болиголов
extratrees:slabs.0:6, Плита из Ясень
extratrees:slabs.0:7, Плита из Ольха
extratrees:slabs.1:0, Плита из Бук
extratrees:slabs.1:1, Плита из Боярышник
extratrees:slabs.1:2, Плита из Банан
extratrees:slabs.1:3, Плита из Тис
extratrees:slabs.1:4, Плита из Кипарис
extratrees:slabs.1:5, Плита из Пихта
extratrees:slabs.1:6, Плита из Орех
extratrees:slabs.1:7, Плита из Гикори
extratrees:slabs.2:0, Плита из Вяз
extratrees:slabs.2:1, Плита из Бузина
extratrees:slabs.2:2, Плита из Падуб
extratrees:slabs.2:3, Плита из Граб
extratrees:slabs.2:4, Плита из Кедр
extratrees:slabs.2:5, Плита из Оливка
extratrees:slabs.2:6, Плита из Ликвидамбр
extratrees:slabs.2:7, Плита из Робиния
extratrees:slabs.3:0, Плита из Груша
extratrees:slabs.3:1, Плита из Маклюра
extratrees:slabs.3:2, Плита из Цезальпиния
extratrees:slabs.3:3, Плита из Кампеш
extratrees:slabs.3:4, Плита из Дальбергия
extratrees:slabs.3:5, Плита из Амарант
extratrees:slabs.3:6, Плита из Ироко
extratrees:slabs.3:7, Плита из Гингко
extratrees:slabs.4:0, Плита из Эвкалипт
extratrees:slabs.4:1, Плита из Самшит
extratrees:slabs.4:2, Плита из Сизгиум
extratrees:slabs.4:3, Плита из Розовая слоновая кость
extratrees:slabs.fireproof.0:0, Плита из Яблоня (огнестойкость)
extratrees:slabs.fireproof.0:1, Плита из Инжир (огнестойкость)
extratrees:slabs.fireproof.0:2, Плита из Масляный орех (огнестойкость)
extratrees:slabs.fireproof.0:3, Плита из Рябина ария (огнестойкость)
extratrees:slabs.fireproof.0:4, Плита из Рябина (огнестойкость)
extratrees:slabs.fireproof.0:5, Плита из Болиголов (огнестойкость)
extratrees:slabs.fireproof.0:6, Плита из Ясень (огнестойкость)
extratrees:slabs.fireproof.0:7, Плита из Ольха (огнестойкость)
extratrees:slabs.fireproof.1:0, Плита из Бук (огнестойкость)
extratrees:slabs.fireproof.1:1, Плита из Боярышник (огнестойкость)
extratrees:slabs.fireproof.1:2, Плита из Банан (огнестойкость)
extratrees:slabs.fireproof.1:3, Плита из Тис (огнестойкость)
extratrees:slabs.fireproof.1:4, Плита из Кипарис (огнестойкость)
extratrees:slabs.fireproof.1:5, Плита из Пихта (огнестойкость)
extratrees:slabs.fireproof.1:6, Плита из Орех (огнестойкость)
extratrees:slabs.fireproof.1:7, Плита из Гикори (огнестойкость)
extratrees:slabs.fireproof.2:0, Плита из Вяз (огнестойкость)
extratrees:slabs.fireproof.2:1, Плита из Бузина (огнестойкость)
extratrees:slabs.fireproof.2:2, Плита из Падуб (огнестойкость)
extratrees:slabs.fireproof.2:3, Плита из Граб (огнестойкость)
extratrees:slabs.fireproof.2:4, Плита из Кедр (огнестойкость)
extratrees:slabs.fireproof.2:5, Плита из Оливка (огнестойкость)
extratrees:slabs.fireproof.2:6, Плита из Ликвидамбр (огнестойкость)
extratrees:slabs.fireproof.2:7, Плита из Робиния (огнестойкость)
extratrees:slabs.fireproof.3:0, Плита из Груша (огнестойкость)
extratrees:slabs.fireproof.3:1, Плита из Маклюра (огнестойкость)
extratrees:slabs.fireproof.3:2, Плита из Цезальпиния (огнестойкость)
extratrees:slabs.fireproof.3:3, Плита из Кампеш (огнестойкость)
extratrees:slabs.fireproof.3:4, Плита из Дальбергия (огнестойкость)
extratrees:slabs.fireproof.3:5, Плита из Амарант (огнестойкость)
extratrees:slabs.fireproof.3:6, Плита из Ироко (огнестойкость)
extratrees:slabs.fireproof.3:7, Плита из Гингко (огнестойкость)
extratrees:slabs.fireproof.4:0, Плита из Эвкалипт (огнестойкость)
extratrees:slabs.fireproof.4:1, Плита из Самшит (огнестойкость)
extratrees:slabs.fireproof.4:2, Плита из Сизгиум (огнестойкость)
extratrees:slabs.fireproof.4:3, Плита из Розовая слоновая кость (огнестойкость)
extratrees:stairs.apple:0, Ступеньки из Яблоня
extratrees:stairs.fig:0, Ступеньки из Инжир
extratrees:stairs.butternut:0, Ступеньки из Масляный орех
extratrees:stairs.whitebeam:0, Ступеньки из Рябина ария
extratrees:stairs.rowan:0, Ступеньки из Рябина
extratrees:stairs.hemlock:0, Ступеньки из Болиголов
extratrees:stairs.ash:0, Ступеньки из Ясень
extratrees:stairs.alder:0, Ступеньки из Ольха
extratrees:stairs.beech:0, Ступеньки из Бук
extratrees:stairs.hawthorn:0, Ступеньки из Боярышник
extratrees:stairs.banana:0, Ступеньки из Банан
extratrees:stairs.yew:0, Ступеньки из Тис
extratrees:stairs.cypress:0, Ступеньки из Кипарис
extratrees:stairs.fir:0, Ступеньки из Пихта
extratrees:stairs.hazel:0, Ступеньки из Орех
extratrees:stairs.hickory:0, Ступеньки из Гикори
extratrees:stairs.elm:0, Ступеньки из Вяз
extratrees:stairs.elder:0, Ступеньки из Бузина
extratrees:stairs.holly:0, Ступеньки из Падуб
extratrees:stairs.hornbeam:0, Ступеньки из Граб
extratrees:stairs.cedar:0, Ступеньки из Кедр
extratrees:stairs.olive:0, Ступеньки из Оливка
extratrees:stairs.sweetgum:0, Ступеньки из Ликвидамбр
extratrees:stairs.locust:0, Ступеньки из Робиния
extratrees:stairs.pear:0, Ступеньки из Груша
extratrees:stairs.maclura:0, Ступеньки из Маклюра
extratrees:stairs.brazilwood:0, Ступеньки из Цезальпиния
extratrees:stairs.logwood:0, Ступеньки из Кампеш
extratrees:stairs.rosewood:0, Ступеньки из Дальбергия
extratrees:stairs.purpleheart:0, Ступеньки из Амарант
extratrees:stairs.iroko:0, Ступеньки из Ироко
extratrees:stairs.gingko:0, Ступеньки из Гингко
extratrees:stairs.eucalyptus:0, Ступеньки из Эвкалипт
extratrees:stairs.box:0, Ступеньки из Самшит
extratrees:stairs.syzgium:0, Ступеньки из Сизгиум
extratrees:stairs.pinkivory:0, Ступеньки из Розовая слоновая кость
extratrees:stairs.fireproof.apple:0, Ступеньки из Яблоня (огнестойкость)
extratrees:stairs.fireproof.fig:0, Ступеньки из Инжир (огнестойкость)
extratrees:stairs.fireproof.butternut:0, Ступеньки из Масляный орех (огнестойкость)
extratrees:stairs.fireproof.whitebeam:0, Ступеньки из Рябина ария (огнестойкость)
extratrees:stairs.fireproof.rowan:0, Ступеньки из Рябина (огнестойкость)
extratrees:stairs.fireproof.hemlock:0, Ступеньки из Болиголов (огнестойкость)
extratrees:stairs.fireproof.ash:0, Ступеньки из Ясень (огнестойкость)
extratrees:stairs.fireproof.alder:0, Ступеньки из Ольха (огнестойкость)
extratrees:stairs.fireproof.beech:0, Ступеньки из Бук (огнестойкость)
extratrees:stairs.fireproof.hawthorn:0, Ступеньки из Боярышник (огнестойкость)
extratrees:stairs.fireproof.banana:0, Ступеньки из Банан (огнестойкость)
extratrees:stairs.fireproof.yew:0, Ступеньки из Тис (огнестойкость)
extratrees:stairs.fireproof.cypress:0, Ступеньки из Кипарис (огнестойкость)
extratrees:stairs.fireproof.fir:0, Ступеньки из Пихта (огнестойкость)
extratrees:stairs.fireproof.hazel:0, Ступеньки из Орех (огнестойкость)
extratrees:stairs.fireproof.hickory:0, Ступеньки из Гикори (огнестойкость)
extratrees:stairs.fireproof.elm:0, Ступеньки из Вяз (огнестойкость)
extratrees:stairs.fireproof.elder:0, Ступеньки из Бузина (огнестойкость)
extratrees:stairs.fireproof.holly:0, Ступеньки из Падуб (огнестойкость)
extratrees:stairs.fireproof.hornbeam:0, Ступеньки из Граб (огнестойкость)
extratrees:stairs.fireproof.cedar:0, Ступеньки из Кедр (огнестойкость)
extratrees:stairs.fireproof.olive:0, Ступеньки из Оливка (огнестойкость)
extratrees:stairs.fireproof.sweetgum:0, Ступеньки из Ликвидамбр (огнестойкость)
extratrees:stairs.fireproof.locust:0, Ступеньки из Робиния (огнестойкость)
extratrees:stairs.fireproof.pear:0, Ступеньки из Груша (огнестойкость)
extratrees:stairs.fireproof.maclura:0, Ступеньки из Маклюра (огнестойкость)
extratrees:stairs.fireproof.brazilwood:0, Ступеньки из Цезальпиния (огнестойкость)
extratrees:stairs.fireproof.logwood:0, Ступеньки из Кампеш (огнестойкость)
extratrees:stairs.fireproof.rosewood:0, Ступеньки из Дальбергия (огнестойкость)
extratrees:stairs.fireproof.purpleheart:0, Ступеньки из Амарант (огнестойкость)
extratrees:stairs.fireproof.iroko:0, Ступеньки из Ироко (огнестойкость)
extratrees:stairs.fireproof.gingko:0, Ступеньки из Гингко (огнестойкость)
extratrees:stairs.fireproof.eucalyptus:0, Ступеньки из Эвкалипт (огнестойкость)
extratrees:stairs.fireproof.box:0, Ступеньки из Самшит (огнестойкость)
extratrees:stairs.fireproof.syzgium:0, Ступеньки из Сизгиум (огнестойкость)
extratrees:stairs.fireproof.pinkivory:0, Ступеньки из Розовая слоновая кость (огнестойкость)
extratrees:fences.0:0, Забор из Яблоня
extratrees:fences.0:1, Забор из Инжир
